fighter_name,opp_fighter,standing_lands,standing_attempts,ground_lands,ground_attempts,clinch_lands,clinch_attempts,leg_lands,leg_attempts,body_lands,body_attempts,head_lands,head_attempts,knockdowns,control_time,controlled_time,round_count,round_number,ending_round,ending_time
Dominick Cruz,Henry Cejudo,14,29,0,0,0,0,4,6,6,7,4,16,0,0:00,0:08,1,1,2,4:58
Dominick Cruz,Henry Cejudo,17,49,0,0,2,3,6,6,2,4,11,42,0,0:00,0:06,1,2,2,4:58
Cody Garbrandt,Raphael Assuncao,8,20,0,0,0,0,7,8,0,2,1,10,0,0:00,0:00,1,1,2,4:59
Cody Garbrandt,Raphael Assuncao,11,23,0,0,0,0,3,6,2,3,6,14,1,0:03,0:00,1,2,2,4:59
Aljamain Sterling,Cory Sandhagen,2,3,0,0,0,0,2,3,0,0,0,0,0,1:13,0:00,1,1,1,1:28
Cory Sandhagen,Aljamain Sterling,1,2,0,0,0,0,0,0,1,1,0,1,0,0:00,1:13,1,1,1,1:28
Merab Dvalishvili,Gustavo Lopez,10,17,16,28,1,1,6,6,4,4,17,36,0,2:35,0:00,1,1,3,5:00
Merab Dvalishvili,Gustavo Lopez,5,16,8,9,0,0,2,2,3,4,8,19,0,3:25,0:02,1,2,3,5:00
Merab Dvalishvili,Gustavo Lopez,8,21,23,34,2,2,5,6,6,7,22,44,0,3:15,0:00,1,3,3,5:00
Petr Yan,Jose Aldo,17,36,16,19,0,0,2,2,10,11,21,42,0,0:39,0:00,1,1,5,3:24
Jose Aldo,Petr Yan,14,39,0,0,0,0,3,5,1,6,10,28,0,0:00,0:39,1,1,5,3:24
Petr Yan,Jose Aldo,16,42,0,0,0,0,2,2,3,5,11,35,0,0:00,0:00,1,2,5,3:24
Jose Aldo,Petr Yan,24,41,0,0,0,0,9,9,8,10,7,22,0,0:00,0:00,1,2,5,3:24
Petr Yan,Jose Aldo,35,68,0,0,4,4,2,2,10,14,27,56,0,0:00,0:00,1,3,5,3:24
Jose Aldo,Petr Yan,27,46,0,0,2,3,4,6,12,16,13,27,0,0:00,0:00,1,3,5,3:24
Petr Yan,Jose Aldo,28,52,11,13,5,7,3,3,9,11,32,58,0,1:05,0:00,1,4,5,3:24
Jose Aldo,Petr Yan,15,27,0,0,0,0,0,0,7,7,8,20,0,0:00,1:05,1,4,5,3:24
Petr Yan,Jose Aldo,3,3,59,65,0,0,0,0,3,3,59,65,1,3:06,0:00,1,5,5,3:24
Jose Aldo,Petr Yan,1,1,0,0,0,0,1,1,0,0,0,0,0,0:00,3:06,1,5,5,3:24
Pedro Munhoz,Frankie Edgar,30,64,0,0,0,0,11,13,4,5,15,46,0,0:00,0:00,1,1,5,5:00
Pedro Munhoz,Frankie Edgar,21,57,0,0,0,0,4,5,1,2,16,50,0,0:00,0:12,1,2,5,5:00
Pedro Munhoz,Frankie Edgar,33,60,0,0,0,0,11,12,4,6,18,42,0,0:00,0:00,1,3,5,5:00
Pedro Munhoz,Frankie Edgar,35,74,0,0,0,0,7,8,4,10,24,56,0,0:00,0:06,1,4,5,5:00
Pedro Munhoz,Frankie Edgar,47,95,0,0,0,0,11,14,11,16,25,65,0,0:00,0:00,1,5,5,5:00
Merab Dvalishvili,John Dodson,2,14,0,0,24,24,24,24,1,2,1,12,0,1:55,0:00,1,1,3,5:00
Merab Dvalishvili,John Dodson,8,36,0,0,1,1,2,2,2,3,5,32,0,0:50,0:04,1,2,3,5:00
Merab Dvalishvili,John Dodson,15,58,0,0,0,0,4,4,1,4,10,50,0,0:59,0:00,1,3,3,5:00
Marlon Moraes,Cory Sandhagen,12,45,0,0,0,0,2,5,0,4,10,36,0,0:09,0:00,1,1,2,1:03
Cory Sandhagen,Marlon Moraes,30,66,0,0,0,0,11,12,8,9,11,45,0,0:00,0:09,1,1,2,1:03
Marlon Moraes,Cory Sandhagen,2,5,0,0,0,0,1,1,1,1,0,3,0,0:00,0:04,1,2,2,1:03
Cory Sandhagen,Marlon Moraes,6,18,2,4,0,0,2,3,1,1,5,18,1,0:04,0:00,1,2,2,1:03
Jose Aldo,Marlon Vera,18,28,0,0,1,1,4,4,8,10,7,15,0,0:04,1:26,1,1,3,5:00
Jose Aldo,Marlon Vera,17,32,0,0,7,7,2,2,13,15,9,22,0,0:00,1:25,1,2,3,5:00
Jose Aldo,Marlon Vera,1,2,0,0,0,0,0,0,0,1,1,1,0,4:53,0:00,1,3,3,5:00
Marlon Moraes,Rob Font,8,9,1,3,0,0,0,0,1,2,8,10,0,2:31,0:38,1,1,1,3:47
Rob Font,Marlon Moraes,13,18,16,18,1,1,0,0,3,3,27,34,1,0:38,2:31,1,1,1,3:47
Cory Sandhagen,Frankie Edgar,2,5,0,0,0,0,1,2,0,0,1,3,1,0:00,0:00,1,1,1,0:28
Pedro Munhoz,Jimmie Rivera,37,72,0,0,0,0,20,25,5,7,12,40,0,0:00,0:00,1,1,3,5:00
Pedro Munhoz,Jimmie Rivera,25,48,0,0,1,1,11,15,7,8,8,26,0,0:03,0:04,1,2,3,5:00
Pedro Munhoz,Jimmie Rivera,31,73,0,0,0,0,9,12,7,12,15,49,0,0:00,0:00,1,3,3,5:00
Petr Yan,Aljamain Sterling,12,19,1,1,1,1,4,4,6,7,4,10,1,1:17,0:27,1,1,4,4:29
Aljamain Sterling,Petr Yan,20,64,3,6,4,4,6,6,11,18,10,50,0,0:27,1:17,1,1,4,4:29
Petr Yan,Aljamain Sterling,3,7,4,4,3,5,3,3,2,2,5,11,0,1:25,2:16,1,2,4,4:29
Aljamain Sterling,Petr Yan,13,32,0,0,4,4,0,0,10,12,7,24,0,2:16,1:25,1,2,4,4:29
Petr Yan,Aljamain Sterling,24,42,3,6,3,5,6,6,8,10,16,37,0,0:49,0:34,1,3,4,4:29
Aljamain Sterling,Petr Yan,27,55,0,0,2,3,5,5,12,14,12,39,0,0:34,0:49,1,3,4,4:29
Petr Yan,Aljamain Sterling,25,38,2,2,5,7,4,4,5,5,23,38,0,0:41,0:08,1,4,4,4:29
Aljamain Sterling,Petr Yan,19,56,2,3,3,3,3,5,10,16,11,41,0,0:08,0:41,1,4,4,4:29
Dominick Cruz,Casey Kenney,26,56,0,0,0,0,9,11,7,16,10,29,0,0:00,0:17,1,1,3,5:00
Dominick Cruz,Casey Kenney,36,82,0,0,0,0,4,4,8,8,24,70,0,0:00,0:09,1,2,3,5:00
Dominick Cruz,Casey Kenney,23,59,0,1,4,4,1,1,9,11,17,52,0,2:07,0:00,1,3,3,5:00
Merab Dvalishvili,Cody Stamann,24,64,0,0,2,4,1,1,5,6,20,61,0,0:33,0:31,1,1,3,5:00
Merab Dvalishvili,Cody Stamann,16,49,3,3,2,2,4,5,7,13,10,36,0,1:09,1:07,1,2,3,5:00
Merab Dvalishvili,Cody Stamann,24,70,0,0,0,0,1,3,4,6,19,61,0,0:00,1:19,1,3,3,5:00
Rob Font,Cody Garbrandt,19,42,1,1,1,1,2,3,5,5,14,36,0,0:00,0:53,1,1,5,5:00
Cody Garbrandt,Rob Font,6,18,4,5,3,4,3,3,1,2,9,22,0,0:53,0:00,1,1,5,5:00
Rob Font,Cody Garbrandt,24,52,0,0,3,3,2,2,4,5,21,48,0,0:00,1:58,1,2,5,5:00
Cody Garbrandt,Rob Font,6,19,0,0,2,2,1,1,2,3,5,17,0,1:58,0:00,1,2,5,5:00
Rob Font,Cody Garbrandt,30,65,1,2,1,1,2,2,4,6,26,60,0,1:12,0:02,1,3,5,5:00
Cody Garbrandt,Rob Font,15,28,0,0,0,1,2,2,0,0,13,27,0,0:02,1:12,1,3,5,5:00
Rob Font,Cody Garbrandt,51,101,0,0,0,0,2,3,7,8,42,90,0,0:00,0:00,1,4,5,5:00
Cody Garbrandt,Rob Font,10,22,0,0,2,3,3,4,1,1,8,20,0,0:00,0:00,1,4,5,5:00
Rob Font,Cody Garbrandt,44,96,0,0,1,1,0,0,3,5,42,92,0,0:01,0:09,1,5,5,5:00
Cody Garbrandt,Rob Font,14,39,0,0,1,1,1,1,4,5,10,34,0,0:09,0:01,1,5,5,5:00
Cory Sandhagen,TJ Dillashaw,15,24,0,1,0,0,5,6,1,3,9,16,0,0:00,2:24,1,1,5,5:00
Cory Sandhagen,TJ Dillashaw,26,55,0,0,0,0,2,2,2,2,22,51,0,0:00,1:18,1,2,5,5:00
Cory Sandhagen,TJ Dillashaw,22,52,0,0,1,1,1,1,2,2,20,50,0,0:00,2:00,1,3,5,5:00
Cory Sandhagen,TJ Dillashaw,26,65,0,0,0,0,0,0,1,2,25,63,0,0:00,1:41,1,4,5,5:00
Cory Sandhagen,TJ Dillashaw,37,82,0,0,1,1,0,0,4,5,34,78,0,0:00,0:59,1,5,5,5:00
Jose Aldo,Pedro Munhoz,25,60,0,0,0,0,0,0,12,20,13,40,0,0:00,0:01,1,1,3,5:00
Pedro Munhoz,Jose Aldo,27,75,0,0,1,1,15,18,2,4,11,54,0,0:01,0:00,1,1,3,5:00
Jose Aldo,Pedro Munhoz,42,95,0,0,0,0,1,1,9,16,32,78,0,0:00,0:00,1,2,3,5:00
Pedro Munhoz,Jose Aldo,32,70,0,0,1,1,16,18,1,2,16,51,0,0:00,0:00,1,2,3,5:00
Jose Aldo,Pedro Munhoz,47,68,0,0,0,0,7,7,11,11,29,50,0,0:00,0:09,1,3,3,5:00
Pedro Munhoz,Jose Aldo,12,30,0,0,2,2,6,6,0,0,8,26,0,0:09,0:00,1,3,3,5:00
Marlon Moraes,Merab Dvalishvili,21,35,7,7,1,2,6,8,0,0,23,36,1,0:10,2:21,1,1,2,4:25
Merab Dvalishvili,Marlon Moraes,11,31,20,28,0,0,0,1,1,2,30,56,0,2:21,0:10,1,1,2,4:25
Marlon Moraes,Merab Dvalishvili,0,0,0,0,0,0,0,0,0,0,0,0,0,0:20,3:39,1,2,2,4:25
Merab Dvalishvili,Marlon Moraes,1,4,37,46,0,0,0,0,5,5,33,45,0,3:39,0:20,1,2,2,4:25
Petr Yan,Cory Sandhagen,17,35,0,0,2,2,11,12,4,4,4,21,0,0:00,0:10,1,1,5,5:00
Cory Sandhagen,Petr Yan,36,83,0,0,1,2,10,11,6,6,21,68,0,0:10,0:00,1,1,5,5:00
Petr Yan,Cory Sandhagen,36,63,0,0,2,2,7,7,8,8,23,50,0,0:05,0:00,1,2,5,5:00
Cory Sandhagen,Petr Yan,45,113,0,0,0,0,6,6,9,12,30,95,0,0:00,0:05,1,2,5,5:00
Petr Yan,Cory Sandhagen,28,46,7,9,1,2,2,2,5,6,29,49,1,0:40,0:07,1,3,5,5:00
Cory Sandhagen,Petr Yan,37,86,0,0,0,0,4,4,4,4,29,78,0,0:07,0:40,1,3,5,5:00
Petr Yan,Cory Sandhagen,34,64,0,0,2,3,0,0,8,8,28,59,0,0:24,0:03,1,4,5,5:00
Cory Sandhagen,Petr Yan,25,83,0,0,0,0,1,1,4,5,20,77,0,0:03,0:24,1,4,5,5:00
Petr Yan,Cory Sandhagen,20,44,0,0,0,0,2,3,2,3,16,38,0,0:00,0:00,1,5,5,5:00
Cory Sandhagen,Petr Yan,25,78,0,0,0,0,2,2,5,5,18,71,0,0:00,0:00,1,5,5,5:00
