unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url
2786,3207,295,2,"Luke Sanders",1,14,27,0,0,0,0:02,0,0,12,23,2,2,0,2,11,24,0,0,3,3,3207,"UFC Fight Night: Ngannou vs. Velasquez","Luke Sanders","Renan Barao",Bantamweight,KO/TKO,Punch,2,1:01,7fec3b1ec923ad24
2787,1849,174,1,"Renan Barao",0,25,34,2,4,2,3:49,0,2,13,19,5,8,1,1,2,10,2,2,15,16,1849,"UFC Fight Night: Marreta vs. Anders","Andre Ewell","Renan Barao",Bantamweight,S-DEC,NULL,3,5:00,f4187c30c311eb93
2788,1849,174,1,"Andre Ewell",1,7,13,1,1,0,0:28,0,0,4,8,0,1,0,0,3,7,0,0,1,2,1849,"UFC Fight Night: Marreta vs. Anders","Andre Ewell","Renan Barao",Bantamweight,S-DEC,NULL,3,5:00,f4187c30c311eb93
2789,1849,174,2,"Renan Barao",0,25,43,1,1,0,1:05,0,1,1,10,3,8,4,8,7,25,0,0,1,1,1849,"UFC Fight Night: Marreta vs. Anders","Andre Ewell","Renan Barao",Bantamweight,S-DEC,NULL,3,5:00,f4187c30c311eb93
2790,1849,174,2,"Andre Ewell",0,21,47,0,0,0,0:00,0,0,10,35,9,10,1,1,20,46,0,0,0,0,1849,"UFC Fight Night: Marreta vs. Anders","Andre Ewell","Renan Barao",Bantamweight,S-DEC,NULL,3,5:00,f4187c30c311eb93
2791,1849,174,3,"Renan Barao",0,17,47,0,0,0,0:00,0,0,9,32,4,9,4,6,17,47,0,0,0,0,1849,"UFC Fight Night: Marreta vs. Anders","Andre Ewell","Renan Barao",Bantamweight,S-DEC,NULL,3,5:00,f4187c30c311eb93
2792,1849,174,3,"Andre Ewell",0,29,68,0,0,0,0:00,0,0,27,61,2,5,0,2,29,67,0,1,0,0,1849,"UFC Fight Night: Marreta vs. Anders","Andre Ewell","Renan Barao",Bantamweight,S-DEC,NULL,3,5:00,f4187c30c311eb93
2793,2254,212,1,"Renan Barao",0,38,73,0,0,0,1:05,0,0,16,42,8,15,6,8,22,56,8,9,0,0,2254,"UFC Fight Night: Emmett vs. Stephens","Brian Kelleher","Renan Barao",Bantamweight,U-DEC,NULL,3,5:00,e22a887ce4ab30eb
2794,2254,212,1,"Brian Kelleher",0,31,60,0,0,0,1:25,0,0,11,37,4,6,2,2,16,44,1,1,0,0,2254,"UFC Fight Night: Emmett vs. Stephens","Brian Kelleher","Renan Barao",Bantamweight,U-DEC,NULL,3,5:00,e22a887ce4ab30eb
2795,2254,212,2,"Renan Barao",0,31,54,0,1,0,1:05,0,0,14,32,9,10,1,4,17,39,7,7,0,0,2254,"UFC Fight Night: Emmett vs. Stephens","Brian Kelleher","Renan Barao",Bantamweight,U-DEC,NULL,3,5:00,e22a887ce4ab30eb
2796,2254,212,2,"Brian Kelleher",0,45,58,1,3,0,2:30,0,0,9,20,3,4,4,4,11,23,5,5,0,0,2254,"UFC Fight Night: Emmett vs. Stephens","Brian Kelleher","Renan Barao",Bantamweight,U-DEC,NULL,3,5:00,e22a887ce4ab30eb
2797,2254,212,3,"Renan Barao",0,65,120,0,1,0,0:03,0,0,48,93,10,18,4,6,56,109,6,8,0,0,2254,"UFC Fight Night: Emmett vs. Stephens","Brian Kelleher","Renan Barao",Bantamweight,U-DEC,NULL,3,5:00,e22a887ce4ab30eb
2798,2254,212,3,"Brian Kelleher",0,69,138,0,1,0,0:31,0,0,54,118,6,11,1,1,59,128,2,2,0,0,2254,"UFC Fight Night: Emmett vs. Stephens","Brian Kelleher","Renan Barao",Bantamweight,U-DEC,NULL,3,5:00,e22a887ce4ab30eb
2805,2566,240,1,"Renan Barao",0,7,45,0,0,0,0:00,0,0,5,37,0,6,2,2,7,45,0,0,0,0,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2806,2566,240,1,"TJ Dillashaw",1,27,65,0,0,2,0:54,0,1,11,46,1,1,7,10,13,42,0,0,6,15,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2807,2566,240,2,"Renan Barao",0,20,79,0,0,0,0:00,0,0,14,64,3,10,3,5,20,79,0,0,0,0,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2808,2566,240,2,"TJ Dillashaw",0,28,73,0,1,0,0:01,0,0,17,61,7,8,4,4,28,73,0,0,0,0,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2809,2566,240,3,"Renan Barao",0,19,73,0,0,0,0:00,0,0,12,64,5,6,2,3,19,73,0,0,0,0,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2810,2566,240,3,"TJ Dillashaw",0,39,78,0,1,0,0:25,0,0,26,60,3,6,8,9,36,73,1,2,0,0,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2811,2566,240,4,"Renan Barao",0,17,49,0,0,0,0:00,0,0,8,34,4,9,1,2,10,42,3,3,0,0,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2812,2566,240,4,"TJ Dillashaw",0,50,86,0,1,0,2:11,0,1,24,55,4,4,3,3,24,55,0,0,7,7,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2813,2566,240,5,"Renan Barao",0,5,31,0,0,0,0:00,0,0,3,27,1,3,1,1,5,31,0,0,0,0,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
2814,2566,240,5,"TJ Dillashaw",1,25,42,0,0,0,0:07,0,0,21,38,2,2,2,2,19,34,0,0,6,8,2566,"UFC 173: Barao vs Dillashaw","TJ Dillashaw","Renan Barao",Bantamweight,KO/TKO,Punches,5,2:26,edcb573f1462846e
3073,2896,268,1,"Iuri Alcantara",0,12,29,1,1,0,0:07,0,0,8,21,4,6,0,1,10,26,2,2,0,0,2896,"UFC 212: Aldo vs. Holloway","Brian Kelleher","Iuri Alcantara",Bantamweight,SUB,"Guillotine Choke",1,1:48,cb2844bb15d22cc6
3074,2896,268,1,"Brian Kelleher",0,4,15,0,0,1,0:00,0,0,1,8,2,4,1,3,4,14,0,1,0,0,2896,"UFC 212: Aldo vs. Holloway","Brian Kelleher","Iuri Alcantara",Bantamweight,SUB,"Guillotine Choke",1,1:48,cb2844bb15d22cc6
3075,2882,267,1,"Cory Sandhagen",0,65,102,0,0,0,3:23,0,2,43,78,0,0,1,1,2,2,0,0,42,77,2882,"UFC Fight Night: Gaethje vs. Vick","Cory Sandhagen","Iuri Alcantara",Bantamweight,KO/TKO,Punches,2,1:01,3e0090669d51415f
3076,2882,267,1,"Iuri Alcantara",0,13,24,1,1,2,1:13,0,0,9,19,0,0,0,0,1,8,1,2,7,9,2882,"UFC Fight Night: Gaethje vs. Vick","Cory Sandhagen","Iuri Alcantara",Bantamweight,KO/TKO,Punches,2,1:01,3e0090669d51415f
3077,2882,267,2,"Cory Sandhagen",0,39,57,0,0,0,0:48,0,0,22,34,0,0,0,0,4,6,0,1,18,27,2882,"UFC Fight Night: Gaethje vs. Vick","Cory Sandhagen","Iuri Alcantara",Bantamweight,KO/TKO,Punches,2,1:01,3e0090669d51415f
3078,2882,267,2,"Iuri Alcantara",0,0,5,0,0,0,0:00,0,0,0,5,0,0,0,0,0,4,0,1,0,0,2882,"UFC Fight Night: Gaethje vs. Vick","Cory Sandhagen","Iuri Alcantara",Bantamweight,KO/TKO,Punches,2,1:01,3e0090669d51415f
3079,591,54,1,"Alejandro Perez",0,8,30,0,0,0,0:00,0,0,5,25,0,0,2,4,7,29,0,0,0,0,591,"UFC Fight Night: Swanson vs. Ortega","Alejandro Perez","Iuri Alcantara",Bantamweight,U-DEC,NULL,3,5:00,1ed266bed8005bbe
3080,591,54,1,"Iuri Alcantara",0,12,30,0,0,0,0:00,0,0,3,18,4,7,5,5,12,29,0,1,0,0,591,"UFC Fight Night: Swanson vs. Ortega","Alejandro Perez","Iuri Alcantara",Bantamweight,U-DEC,NULL,3,5:00,1ed266bed8005bbe
3081,591,54,2,"Alejandro Perez",0,13,30,0,2,0,0:07,0,0,5,20,2,2,6,8,13,29,0,1,0,0,591,"UFC Fight Night: Swanson vs. Ortega","Alejandro Perez","Iuri Alcantara",Bantamweight,U-DEC,NULL,3,5:00,1ed266bed8005bbe
3082,591,54,2,"Iuri Alcantara",0,19,37,0,1,0,0:01,0,0,5,21,6,7,7,8,18,36,0,0,0,0,591,"UFC Fight Night: Swanson vs. Ortega","Alejandro Perez","Iuri Alcantara",Bantamweight,U-DEC,NULL,3,5:00,1ed266bed8005bbe
3083,591,54,3,"Alejandro Perez",0,17,40,0,1,0,0:48,0,0,6,27,2,2,7,9,9,32,6,6,0,0,591,"UFC Fight Night: Swanson vs. Ortega","Alejandro Perez","Iuri Alcantara",Bantamweight,U-DEC,NULL,3,5:00,1ed266bed8005bbe
3084,591,54,3,"Iuri Alcantara",0,8,33,0,2,0,0:08,0,0,1,24,5,7,2,2,8,33,0,0,0,0,591,"UFC Fight Night: Swanson vs. Ortega","Alejandro Perez","Iuri Alcantara",Bantamweight,U-DEC,NULL,3,5:00,1ed266bed8005bbe
3159,3098,286,1,"Takeya Mizugaki",0,42,66,1,1,0,3:35,0,0,24,43,2,2,1,1,4,9,3,4,20,33,3098,"UFC Macao: Franklin vs Le","Takeya Mizugaki","Jeff Hougland",Bantamweight,U-DEC,NULL,3,5:00,e881ba0a28fffb6e
3160,3098,286,1,"Jeff Hougland",0,23,25,0,2,0,0:14,0,0,3,3,5,6,1,2,5,7,4,4,0,0,3098,"UFC Macao: Franklin vs Le","Takeya Mizugaki","Jeff Hougland",Bantamweight,U-DEC,NULL,3,5:00,e881ba0a28fffb6e
3161,3098,286,2,"Takeya Mizugaki",0,32,49,1,1,0,3:36,0,1,17,28,5,8,0,1,3,8,2,3,17,26,3098,"UFC Macao: Franklin vs Le","Takeya Mizugaki","Jeff Hougland",Bantamweight,U-DEC,NULL,3,5:00,e881ba0a28fffb6e
3162,3098,286,2,"Jeff Hougland",0,24,29,0,3,0,0:19,0,0,2,4,3,4,0,0,3,6,1,1,1,1,3098,"UFC Macao: Franklin vs Le","Takeya Mizugaki","Jeff Hougland",Bantamweight,U-DEC,NULL,3,5:00,e881ba0a28fffb6e
